feature,disease
Camptodactyly,Arthropathy-camptodactyly syndrome
Camptodactyly,Blau syndrome
Camptodactyly,Camptobrachydactyly
Camptodactyly,Camptodactyly-arthropathy-coxa vara_pericarditis syndrome
Camptodactyly,Camptodactyly-eye syndrome
Camptodactyly,Camptodactyly-ichthyosis syndrome
Camptodactyly,"Camptodactyly, joint contracture, facial anomalies, and skeletal defects"
Camptodactyly,"Camptodactyly, skeletal abnormalities, ptosis, infertility"
Camptodactyly,Cerebrofacioauricular syndrome of Van Maldergem
Camptodactyly,Cerebrooculofacioskeletal syndrome
Camptodactyly,CHARGE association
Camptodactyly,Christian syndrome
Camptodactyly,"Chromosomal abnormalities (8, 13, 18, 21, etc.)"
Camptodactyly,"Congenital bowing of long bones, camptodactyly, clubfeet, agenesis corpus callosum"
Camptodactyly,Contractural arachnodactyly
Camptodactyly,Craniofrontonasal dysplasia
Camptodactyly,"Crisponi syndrome (trismus, camptodactyly)"
Camptodactyly,da Silva syndrome
Camptodactyly,Faciothoracoskeletal syndrome
Camptodactyly,Familial camptodactyly
Camptodactyly,Familial camptodactylyscoliosis
Camptodactyly,"Familial craniosynostosis, agenesis of corpus callosum, contracture, camptodactyly, hypogonadism, etc."
Camptodactyly,"Familial fibrosing serositis (pleuritis, pericarditis, synovitis)"
Camptodactyly,Fetal akinesia sequence
Camptodactyly,Fetal alcohol syndrome
Camptodactyly,"Frank-ter  Haar syndrome (megalocornea, dysmorphism, bowed long bones, finger flexion deformities)"
Camptodactyly,Freeman-Sheldon syndrome
Camptodactyly,Fryns syndrome
Camptodactyly,Golden-Lakim syndrome
Camptodactyly,Goltz syndrome
Camptodactyly,Gordon syndrome (distal arthro-gryposis)
Camptodactyly,Grebe chondrodysplasia
Camptodactyly,Greig cephalopolysyndactyly syndrome
Camptodactyly,"Guadalajara camptodactyly type I: intrauterine growth  retardation, camptodactyly, cubitus valgus, hallux valgus, etc."
Camptodactyly,"Guadalajara camptodactyly type III: distinctive facial dysmorphology, multiple  nevi, thin hands/feet, camptodactyly"
Camptodactyly,"Guadalajara camptodactyly type II: intrauterine growth  retardation, dysmorphic facial features, camptodactyly, cubitus valgus, etc. "
Camptodactyly,Holt-Oram syndrome
Camptodactyly,"Hypotonia, ptosis, hand/foot malformations"
Camptodactyly,Klein-Waardenburg syndrome
Camptodactyly,Kuskokwim syndrome
Camptodactyly,Kyphomelic dysplasia
Camptodactyly,Lacrimo-auriculo-dento-digital syndrome
Camptodactyly,LAPS syndrome
Camptodactyly,Lenz microphthalmia syndrome
Camptodactyly,Lin-Gettig syndrome
Camptodactyly,Marden-Walker syndrome
Camptodactyly,Marfan syndrome
Camptodactyly,MCA syndrome
Camptodactyly,Meckel syndrorne
Camptodactyly,Mesomelic dysplasia with spur-limbs
Camptodactyly,Nail-patella syndrome
Camptodactyly,Neu-Laxova syndrome
Camptodactyly,Oculodentoosseous dysplasia
Camptodactyly,Ophthalmomandibulomelic dysplasia
Camptodactyly,Orofactodtgttal syndrome I
Camptodactyly,Otopalatodigital dysplasia type II
Camptodactyly,"Pashayan-Pruzansky syndrome- blepharonasofacial anomalies, camptodactyly, and clinodactyly"
Camptodactyly,Pointer syndrome
Camptodactyly,Poland sequence
Camptodactyly,Progeria
Camptodactyly,Pseudodiastrophic dysplasia
Camptodactyly,Pterygium syndrome
Camptodactyly,Roberts syndrome
Camptodactyly,Shpintzen-Goldberg syndrome
Camptodactyly,Silver-Russell syndrome
Camptodactyly,Spondylocostal dysostosis (Jarcho-Levin syndrome)
Camptodactyly,"Stewart-Bergstrom syndrome: camptodactyly (contracture of the digits), wasting of the hand muscles, sensorineural deafness"
Camptodactyly,"Stratton-Parker syndrome: growth hormone deficiency, dextrocardia, wormian bones, brachycamptodactly, etc."
Camptodactyly,Stuve-Wiedemann dysplasia
Camptodactyly,"Teebi-Shaltout syndrome: craniofacial  anomalies, slow growing hair, camptodactyly, and caudal appendage"
Camptodactyly,Tel Hashomer  camptodactyly syndrome
Camptodactyly,"Thick skin, ""coarse"" face, brachydactyly, camptodactyly, mitral valve prolapse, etc"
Camptodactyly,Triploidy
Camptodactyly,Trismus-pseudocamptodactyly
Camptodactyly,W syndrome
Camptodactyly,Weaver-Smith syndrome
Camptodactyly,Williams syndrome
Camptodactyly,Zellweger syndrome
Carpal Fusion,Acro-fronto-facio-nasal dysostosis
Carpal Fusion,Acrocallosal syndrome
Carpal Fusion,Acromegaly
Carpal Fusion,Acromesomelic dysplasia-genital anomalies
Carpal Fusion,Antley-Bixler syndrome
Carpal Fusion,Apert syndrome
Carpal Fusion,Arthritis
Carpal Fusion,Arthrogryposis
Carpal Fusion,"Autosomal-recessive short-limb dwarfism, absent fibulae, and brachydactyly"
Carpal Fusion,Baller-Gerold  syndrome
Carpal Fusion,"Cardiac abnormalities, deafness, thrombocytopenia, carpal fusion"
Carpal Fusion,Carpal coalition-plus
Carpal Fusion,Carpenter syndrome
Carpal Fusion,Cenani-Lenz type syndactyly
Carpal Fusion,Chondroectodermal dysplasia
Carpal Fusion,Christian spondylo-digital syndrome
Carpal Fusion,Chromosomal abnormalities
Carpal Fusion,Diastrophic dysplasia
Carpal Fusion,"Dislocated hips and radial heads, carpal coalition, and short stature syndrome"
Carpal Fusion,Du Pan-like syndrqme with genital anomalies
Carpal Fusion,Dyschondrosteosis
Carpal Fusion,EEC syndrome
Carpal Fusion,F syndrome
Carpal Fusion,"Familial brachydactyly with hypoplastic thumb; and  great toes, and coalescence  of the and  tarsal  bones "
Carpal Fusion,Fetal alcohol syndrome
Carpal Fusion,FGFR-opathy
Carpal Fusion,Frontometaphyseal dysplasia
Carpal Fusion,Hand-foot-genital syndrome
Carpal Fusion,Holt-Oram syndrome
Carpal Fusion,Keratosis palmaris et plantaris familiaris (tylosis)
Carpal Fusion,Klein-Waardenburg syndrome
Carpal Fusion,Kniest  dysplasia
Carpal Fusion,LEOPARD syndrome
Carpal Fusion,Liebenberg syndrome
Carpal Fusion,"Mesomelic dysplasia, Nievergelt type"
Carpal Fusion,"Mesomelic shortness of stature, acral synostosis, umbilical anomalies, and soft palate agenesis;dominant inheritance"
Carpal Fusion,"Mitral valve insufficiency-deafness-skeletal malformations (cervical vertebral fusion, carpal and tarsal fusion, short  phalanges)"
Carpal Fusion,Multiple synostosis syndrome
Carpal Fusion,Occipital horn syndrome
Carpal Fusion,"Oligosyndactyly, metacarpal fusions, carpal coalition, kissing delta phalanx"
Carpal Fusion,Osebold-Remondini dysplasia
Carpal Fusion,Oto-facio-osseous-gonadal syndrome
Carpal Fusion,"Otopalatodigital syndrome, type I"
Carpal Fusion,Pfeiffer-like syndrome 
Carpal Fusion,Reflex sympathetic dystrophy
Carpal Fusion,Rothmund-Thomson syndrome
Carpal Fusion,Ruvalcaba syndrome
Carpal Fusion,Saethre-Chotzen syndrome
Carpal Fusion,Scleroderma
Carpal Fusion,Split hand and foot
Carpal Fusion,Spondylocarpotarsal fusion syndrome
Carpal Fusion,"Spondyloepimetaphyseal dysplasia, Irapa type"
Carpal Fusion,Stickler syndrome
Carpal Fusion,Symphalangism complete-carpal fusion
Carpal Fusion,Symphalangism-surdity syndrome
Carpal Fusion,Thalidomide embryopathy
Carpal Fusion,Townes-Brocks syndrome
Carpal Fusion,Turner syndrome
Clinodactyly ,Aarskog syndrome
Clinodactyly ,Aminopterin fetopathy
Clinodactyly ,"Ankylosed teeth, clinodactyly, mild prognathism, etc."
Clinodactyly ,Bardet-Biedl syndrome
Clinodactyly ,Bloom syndrome
Clinodactyly ,Brachmann-de Lange syndrome
Clinodactyly ,"Brachydactyly AI, A2, A3, C "
Clinodactyly ,Campomelic dysplasia
Clinodactyly ,Carpenter syndrome
Clinodactyly ,Cephaloskeletal dysplasia
Clinodactyly ,Cerebrocostomandibular syndrome
Clinodactyly ,CHAR syndrome
Clinodactyly ,Christian spondylo-digital syndrome
Clinodactyly ,"Chromosomal abnormalities (13, 18, 21,22 etc.) "
Clinodactyly ,Cohen syndrome
Clinodactyly ,Contractural arachnodactyly 
Clinodactyly ,Cranioectodermal dysplasia
Clinodactyly ,Craniofrontonasal dysplasia
Clinodactyly ,DiGeorge sequence
Clinodactyly ,DOOR syndrome
Clinodactyly ,"Double lips, hypertelorism, ptosis, blepharophimosis, third finger clinodactyly"
Clinodactyly ,Down syndrome
Clinodactyly ,Dubowitz syndrome
Clinodactyly ,EEC syndrome
Clinodactyly ,Ehlers-Danlos syndrome
Clinodactyly ,Fanconi anemia
Clinodactyly ,Feingold syndrome (clinodactyly 2/5)
Clinodactyly ,Fetal alcohol syndrome
Clinodactyly ,Fibrochondrogenesis
Clinodactyly ,Fibrodysplasia ossificans progressiva
Clinodactyly ,"Fibular deficiency, dysmorphism, brachydactyly, MR, clinodactyly 2/5"
Clinodactyly ,Filippi syndrome
Clinodactyly ,Floating-Harbor syndrome
Clinodactyly ,Goltz syndrome
Clinodactyly ,Goodman syndrome 
Clinodactyly ,Hand-foot-genital syndrome
Clinodactyly ,Holt-Oram syndrome
Clinodactyly ,Hypomelanosis of Ito
Clinodactyly ,Kabuki make-up syndrome
Clinodactyly ,Lenz microphthalmia syndrome
Clinodactyly ,Marfan syndrome
Clinodactyly ,Meckel syndrome
Clinodactyly ,"Mesomelic dysplasia, Nievergelt type"
Clinodactyly ,"Metaphyseal chondrodysplasia, Shwachman type"
Clinodactyly ,"Microtia, absent patellae, short stature, hooked clavicles, clinodactyly, etc."
Clinodactyly ,Miller-Dieker syndrome
Clinodactyly ,Myotonic dystrophy
Clinodactyly ,Nail-patella syndrome
Clinodactyly ,Nasodigitoacoustic syndrome
Clinodactyly ,Noonan syndrome
Clinodactyly ,Oculodentoosseous dysplasia
Clinodactyly ,Orofaciodigital syndrome I
Clinodactyly ,Orofaciodigital syndrome II
Clinodactyly ,"Otopalatodigital syndrome, type I"
Clinodactyly ,Pashayan-Pruzansky syndrom e
Clinodactyly ,Poland sequence
Clinodactyly ,Prader-Willi syndrome
Clinodactyly ,Pterygium syndrome
Clinodactyly ,Rieger syndrome
Clinodactyly ,Roberts syndrome
Clinodactyly ,Robinow syndrome
Clinodactyly ,Rubinstein-Taybi syndrome
Clinodactyly ,Ruvalcaba syndrome
Clinodactyly ,Saethre-Chotzen syndrome
Clinodactyly ,Seckel syndrome
Clinodactyly ,Silver-Russell syndrome
Clinodactyly ,TAR syndrome
Clinodactyly ,Treacher Collins syndrome
Clinodactyly ,"Trichorhinophalangeal dysplasia, type I"
Clinodactyly ,"Trichorhinophalangeal dysplasia, type II"
Clinodactyly ,Triploidy
Clinodactyly ,Velocardiofacial syndrome
Clinodactyly ,Weill-Marchesani syndrome
Clinodactyly ,Williams syndrome
Clinodactyly ,Zellweger syndrome
Clubbing of Digits ,Acromegaly
Clubbing of Digits ,Biliary atresia
Clubbing of Digits ,"Cardiovascular lesions: congenital cyanotic heart disease, etc."
Clubbing of Digits ,Cronkhite-Canada syndrome
Clubbing of Digits ,Familial clubbed fingers
Clubbing of Digits ,"Gastrointestinal pathology: inflammatory bowel diseases, carcinomas, sprue"
Clubbing of Digits ,Hajdu-Cheney syndrome
Clubbing of Digits ,Hamman-Rich syndrome
Clubbing of Digits ,Hepatic cirrhosis
Clubbing of Digits ,Hyperthyroidism; thyroid acropachy
Clubbing of Digits ,Hypertrophic osteoarthropathy
Clubbing of Digits ,Hypothyroidism (myxedema)
Clubbing of Digits ,Immotile cilia syndrome
Clubbing of Digits ,"Intrathoracic pathology: neoplasms, inflammations, emphysema, cystic fibrosis"
Clubbing of Digits ,Larsen syndrome
Clubbing of Digits ,"Osteoarthropathy, familial idiopathic"
Clubbing of Digits ,Pachydermoperiostosis
Clubbing of Digits ,Palmoplantar keratoderma
Clubbing of Digits ,POEMS syndrome
Clubbing of Digits ,Polycythemia
Clubbing of Digits ,Primary hypertrophic osteoarthropathy
Clubbing of Digits ,Pulmonary tumors
Clubbing of Digits ,Renal cell carcinoma
Clubbing of Digits ,Rendu-Osler-Weber syndrome
Clubbing of Digits ,Seckel syndrome
Clubbing of Digits ,Subacute bacterial endocarditis
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Aarskog syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Aminopterin fetopathy
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Amniotic band sequence
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Antley-Bixler syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Arthrogryposis
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Bloom syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Brachmann-de Lange syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus","Branchial dysplasia,  mental  deficiency, clubfeet, inguina  hernia, and paucity of interlobular bile ducts (familial)"
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Campomelic dysplasia
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Carey-Fineman-Ziter syndrome 
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Caudal dysplasia sequence
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Cephaloskeletal dysplasia
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Charge association
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus","Chondrodysplasia punctata, Conradi- Hlinermann type"
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Christian syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Chromosomal abnormalities
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Clubfeet and tarsal coalition
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus","Congenital bowing of long bones, camptodactyly, clubfeet, agenesis corpus callosum"
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus","Craniostenosis, microcephaly, humero-radial synostosis, thumb aplasia"
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Desbuquois dysplasia
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Diastrophic dysplasia
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",DiGeorge sequence
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Dubowitz syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Ehlers-Danlos syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus","Familial arthrogrypotic skeletal deformities, thick skin patch  on forehead, unusual facial appearance, sensory defects, etc. "
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Femoral  hypoplasia-unusual facies syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Fetal akinesia sequence
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Fetal valproate syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Freeman-Sheldon syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Gardner-Silengo-Wachtel syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Homocystinuria
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Humerospinal dysostosis
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Idiopathic talipes equinovarus
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Juberg-Hayward syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Kabuki make-up syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Kniest dysplasia
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Kuskokwim syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Larsen syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Marinesco-Sjogren syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Meckel syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus","MED-multilayered patellae, brachydactyly, clubfeet"
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus","Mesomelic dysplasia, Nievergelt type"
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Metatropic dysplasia
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Microcephalic osteodysplastic dysplasia
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Mietens-Weber syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Mobius syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Mucopolysaccharidoses
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Myotonidystrophy
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Nager acrofacial dysostosis
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Nail-patella syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Noonan syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Osteogenesis imperfecta
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus","Oto-facw-osseous-gonadal syndrome  (carpal fusion, clubfeet)"
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus","Polysyndactyly, cardiac abnormality, hepatic cysts"
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Potter sequence
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Proteus syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Pseudodiastrophic dysplasia 
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Pterygium  syndrome 
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Roberts syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus","SAMS syndrome (auditory canal atresia, humero-scapular synostosis, clubfeet, genital abnormalities"
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Sandrow syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Schinzel-Giedion syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Schwartz-Jarnpel syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Seckel syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Smith-Lernli-Opitz syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Spondyloepimetaphyseal dysplasia with joint laxity 
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus","Spondylometaphyseal dysplasia, Sedaghatian  type"
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",TAR syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Trismus-pseudocarnptodactyly syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Waardenburg anophthalmia  syndrome
"Clubfoot, Talipes Equino Varus, Metatarsus Adductus",Zellweger syndrome
Cortical Hyperostosis or Thickening,Acromegaly
Cortical Hyperostosis or Thickening,Anderson syndrome
Cortical Hyperostosis or Thickening,Bowed tubular bones
Cortical Hyperostosis or Thickening,Caffey disease
Cortical Hyperostosis or Thickening,Caffey dysplasia
Cortical Hyperostosis or Thickening,Cerebellar hypoplasia with endosteal sclerosis
Cortical Hyperostosis or Thickening,Child abuse 
Cortical Hyperostosis or Thickening,Craniodiaphysial dysplasia
Cortical Hyperostosis or Thickening,"Dentine dysplasia- sclerotic bones: radicular dentine dysplasia, dense sclerotic bones (long bones, mandible, maxilla), narrow or occluded marrow space, autosomal dominant"
Cortical Hyperostosis or Thickening,Desmoid tumor- skeletal abnormalities
Cortical Hyperostosis or Thickening,Diaphyseal  medullary stenosis-bone malignancy- Hardcastle
Cortical Hyperostosis or Thickening,Diaphyseal dysplasia and proximal myopathy
Cortical Hyperostosis or Thickening,Distal osteosclerosis
Cortical Hyperostosis or Thickening,Dubowitz syndrome  
Cortical Hyperostosis or Thickening,"Endosteal hyperostosis, vanBuchem type"
Cortical Hyperostosis or Thickening,"Endosteal hyperostosis, Worth type"
Cortical Hyperostosis or Thickening,Erdheim-Chester disease
Cortical Hyperostosis or Thickening,Fibrous dysplasia
Cortical Hyperostosis or Thickening,Frontometaphyseal dysplasia
Cortical Hyperostosis or Thickening,Gaucher disease 
Cortical Hyperostosis or Thickening,Gigantism
Cortical Hyperostosis or Thickening,Gnathodiaphyseal dysplasia
Cortical Hyperostosis or Thickening,Goldbloom syndrome
Cortical Hyperostosis or Thickening,Hyperostosis generalisata with striation of the bones
Cortical Hyperostosis or Thickening,Hyperostosis-hyperphosphatemia syndrome
Cortical Hyperostosis or Thickening,Hyperparathyroidism
Cortical Hyperostosis or Thickening,Hyperphosphatasia
Cortical Hyperostosis or Thickening,Hypertrophic osteoarthropathy 
Cortical Hyperostosis or Thickening,Hypothyroidism
Cortical Hyperostosis or Thickening,Klippel-Trenaunay-Weber syndrome
Cortical Hyperostosis or Thickening,Koller syndrome
Cortical Hyperostosis or Thickening,Kozlowski-Tsurata syndrome
Cortical Hyperostosis or Thickening,Lenz-Majewski dysplasia
Cortical Hyperostosis or Thickening,Lipodystrophy
Cortical Hyperostosis or Thickening,Mannosidosis
Cortical Hyperostosis or Thickening,McCune-Albright syndrome
Cortical Hyperostosis or Thickening,Melorheostosis
Cortical Hyperostosis or Thickening,Neurofibromatosis (hemorrhage) 
Cortical Hyperostosis or Thickening,Normal (neonatal)
Cortical Hyperostosis or Thickening,"Osteoarthropathy, familial idiopathic"
Cortical Hyperostosis or Thickening,Osteopetrosis
Cortical Hyperostosis or Thickening,"Osteosclerosis, dominant-type, Stanescu"
Cortical Hyperostosis or Thickening,Pachydermoperiostosis
Cortical Hyperostosis or Thickening,Pamidronate therapy
Cortical Hyperostosis or Thickening,Pancreatitis
Cortical Hyperostosis or Thickening,Pointer syndrome
Cortical Hyperostosis or Thickening,Prostaglandin-induced hyperostosis
Cortical Hyperostosis or Thickening,Pycnodysostosis
Cortical Hyperostosis or Thickening,Rickets
Cortical Hyperostosis or Thickening,Rickets
Cortical Hyperostosis or Thickening,Schnitzler syndrome
Cortical Hyperostosis or Thickening,Sickle cell anemia 
Cortical Hyperostosis or Thickening,Thickened cortical bone and congenital neutropenia
Cortical Hyperostosis or Thickening,Trichodentoosseous syndrome
Cortical Hyperostosis or Thickening,Tuberous sclerosis
Cortical Hyperostosis or Thickening,Tubular stenosis dysplasia
Cortical Hyperostosis or Thickening,Tumoral calcinosis
Cortical Hyperostosis or Thickening,Vitamin A intoxication
Cortical Hyperostosis or Thickening,Vitamin D intoxication
Cortical Hyperostosis or Thickening,Weismann-Netter syndrome
Coxa Valga,Achard syndrome
Coxa Valga,Arthrogryposis
Coxa Valga,Brachyolmia
Coxa Valga,Carpenter syndrome
Coxa Valga,Caudal regression syndrome
Coxa Valga,Cerebro-oculo-facio-skeletal syndrome
Coxa Valga,Chromosome disorders
Coxa Valga,Chromosome XXXXY syndrome
Coxa Valga,Cleidocranial dysplasia
Coxa Valga,Coffin-Lowry syndrome
Coxa Valga,Congenital  hip dysplasia  (untreated)
Coxa Valga,Desbuquois dysplasia
Coxa Valga,Dyschondrosteosis
Coxa Valga,Dysplasia epiphysealis hemimelica
Coxa Valga,Exostosis (multiple cartilaginous)
Coxa Valga,Frontometaphyseal dysplasia
Coxa Valga,Fucosidosis
Coxa Valga,Hypertrichotic-osteochondrodysplasia
Coxa Valga,"Joint laxity, vitreoretinal degeneration, dysmorphism, skeletal abnormalities "
Coxa Valga,Mannosidosis
Coxa Valga,Metaphyseal chondrodysplasia classification
Coxa Valga,Metaphyseal-sella turcica dysplasia-Rosenberg
Coxa Valga,Mucopolysaccharidoses
Coxa Valga,Muscular dystrophies
Coxa Valga,Myositis ossificans progressiva
Coxa Valga,Neuromuscular disorders
Coxa Valga,Occipital horn syndrome
Coxa Valga,Ophthalmomandibulomclic dysplasia
Coxa Valga,"Osteodysplasty, Melnick-Needlcs"
Coxa Valga,Osteopetrosis
Coxa Valga,"Otopalatodigital syndrome, type I"
Coxa Valga,Prader-Willi syndrome
Coxa Valga,Progeria
Coxa Valga,Pseudohypoparathyroidism
Coxa Valga,Pycnodysostosis
Coxa Valga,Pyle dysplasia
Coxa Valga,Rheumatoid arthritis
Coxa Valga,Schwartz-Jampel syndrome
Coxa Valga,Spondyloepiphyscal dysplasia joint laxity
Coxa Valga,Spondyloepiphyseal dysplasia-Stanescu type
Coxa Valga,Stickler syndrome
Coxa Valga,Turner syndrome                       
Coxa Vara, Lowry-Wood  syndrome
Coxa Vara,Arthrogryposis
Coxa Vara,Arthropathy-camptodactyly syndrome
Coxa Vara,Avascular necrosis of femoral head  (various etiologies)
Coxa Vara,Camptodactyly-arthropathy-coxa vara-pericarditis syndrome
Coxa Vara,Cleidocranial dysostosis
Coxa Vara,Diastrophic dysplasia
Coxa Vara,Diastrophic dysplasia
Coxa Vara,Dyggve-Melchior-Clausen dysplasia
Coxa Vara,Enchondromatosis (Oilier disease) 
Coxa Vara,Exostoses (multiple cartilaginous)
Coxa Vara,Familial coxa vara; autosomal dominant
Coxa Vara,Femoral hypoplasia-unusual facies syndrome
Coxa Vara,FGFR-opathies
Coxa Vara,Fibrous dysplasia
Coxa Vara,Frontometaphyseal dysplasia
Coxa Vara,Hyperparathyroidism
Coxa Vara,Hyperphosphatasia
Coxa Vara,Hypophosphatasia
Coxa Vara,Hypothyroidism
Coxa Vara,Idiopathic coxa vara
Coxa Vara,Kniest dysplasia
Coxa Vara,Legg-Calve-Perthes disease
Coxa Vara,Lethal sclerosing skeletal dysplasia
Coxa Vara,"Metaphyseal  chondrodysplasia,"
Coxa Vara,"Metaphyseal  chondrodysplasia, Schmid  type"
Coxa Vara,"Metaphyseal chondrodysplasias, Shwachman type"
Coxa Vara,Metatropic dysplasia
Coxa Vara,Meyer dysplasia of femoral head
Coxa Vara,Microcephalic osteodysplastic primordial dwarfism
Coxa Vara,Multiple epiphyseal  dysplasia
Coxa Vara,Nondevelopmental dysplasia of hips
Coxa Vara,Omodysplasia
Coxa Vara,Osteogenesis imperfecta
Coxa Vara,Osteomalacia
Coxa Vara,Osteopetrosis
Coxa Vara,Paget disease of bone
Coxa Vara,Patella aplasia-coxa vara-tarsal synostosis 
Coxa Vara,Patterson-Lowry rhizomelic dysplasia
Coxa Vara,Posttraumatic
Coxa Vara,Pseudoachondroplasia
Coxa Vara,Pseudohypoparathyroidism
Coxa Vara,Rheumatoid arthritis
Coxa Vara,"Rhizomelic limb  dwarfism and  cataracts: mild platyspondyly with  end-plate concavity, spinal stenosis, coxa vara, etc."
Coxa Vara,Rickets
Coxa Vara,Schwartz-Jampel syndrome
Coxa Vara,Slipped  capital  femoral epiphysis
Coxa Vara,Sponastrime dysplasia
Coxa Vara,"Spondyloepimetaphyseal dysplasia, Irapa type"
Coxa Vara,"Spondyloepimetaphyseal dysplasia, Iraqi type"
Coxa Vara,"Spondyloepimetaphyseal dysplasia, Strudwick type"
Coxa Vara,Spondyloepiphyseal dysplasia  congenita
Coxa Vara,Spondyloepiphyseal dysplasia tarda
Coxa Vara,"Spondylometaphyseal dysplasia, corner fracture type"
Coxa Vara,"Spondylometaphyseal dysplasia, Kozlowski type"
Coxa Vara,"Tibia/femoral hypoplasia with ""hook"" pelvis "
Dactylitis ,Acquired immunodeficiency syndrome
Dactylitis ,Behcet syndrorne
Dactylitis ,Chronic granulomatous disease of childhood ISS
Dactylitis ,"Infections (tuberculosis, etc.)"
Dactylitis ,Pancreatitis (fat necrosis)
Dactylitis ,Phalangeal  rnicrogeodic syndrome
Dactylitis ,Reiter syndrome
Dactylitis ,Sarcoidosis
Dactylitis ,Sickle cell anemia (hand-foot syndrome)
Dactylitis ,Syphilis
Delta  Phalanx;  Epiphyseal  Bracket;  Kissing,Antley-Bixler syndrome
Delta  Phalanx;  Epiphyseal  Bracket;  Kissing,Apert syndrome
Delta  Phalanx;  Epiphyseal  Bracket;  Kissing,"Association with other anomalies: syndactyly, polydactyly, cleft hand, tibia hemimelia, great toe duplication, etc."
Delta  Phalanx;  Epiphyseal  Bracket;  Kissing,Brachydactylic multiple delta phalanges plus syndrome
